what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to load properties file for project 'Snake'",1318786865145
error,log,,,"Exception while reading /Snake/.classpath",1318786865235
error,log,,,"Failed to finish PrecompilerBuilder#startupOnInitialize()",1318786865256
error,log,,,"Failed to load properties file for project 'Snake'",1318786865258
error,log,,,"Failed to load properties file for project 'Snake'",1318786865321
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1318787104791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318787380608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318787385432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318787385960
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318787392626
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1318787394516
started,bundle,com.yattasolutions.diagrams.classdiagram.gef,1.3.6.201109221701,"com.yattasolutions.diagrams.classdiagram.gef",1318787395614
started,bundle,org.eclipse.gef,3.7.1.v20110830-1143,"org.eclipse.gef",1318787395659
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1318787396079
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1318787396153
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1318787396153
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1318787396154
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1318787396155
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1318787396155
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1318787396155
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1318787396155
stopped,bundle,com.yattasolutions.codegen.java.reverse,1.3.6.201109221701,"com.yattasolutions.codegen.java.reverse",1318787396156
stopped,bundle,com.yattasolutions.persistency.ui,1.3.6.201109221700,"com.yattasolutions.persistency.ui",1318787396156
stopped,bundle,com.yattasolutions.codegen.java,1.3.6.201109221700,"com.yattasolutions.codegen.java",1318787396158
stopped,bundle,com.yattasolutions.codegen.java.JDTDisassembled,1.3.6.201109221700,"com.yattasolutions.codegen.java.JDTDisassembled",1318787396158
stopped,bundle,com.yattasolutions.umllab.api,1.3.6.201109221701,"com.yattasolutions.umllab.api",1318787396158
stopped,bundle,com.yattasolutions.umllab.templateworkbench,1.3.6.201109221701,"com.yattasolutions.umllab.templateworkbench",1318787396159
stopped,bundle,com.yattasolutions.umllab.roundtrip,1.3.6.201109221701,"com.yattasolutions.umllab.roundtrip",1318787396159
stopped,bundle,com.yattasolutions.codegen.reverse.ui,1.3.6.201109221701,"com.yattasolutions.codegen.reverse.ui",1318787396159
stopped,bundle,com.yattasolutions.codegen.oaw.ui,1.3.6.201109221700,"com.yattasolutions.codegen.oaw.ui",1318787396159
stopped,bundle,com.yattasolutions.codegen.reverse.oaw,1.3.6.201109221701,"com.yattasolutions.codegen.reverse.oaw",1318787396159
stopped,bundle,com.yattasolutions.codegen.ui,1.3.6.201109221700,"com.yattasolutions.codegen.ui",1318787396160
stopped,bundle,com.yattasolutions.linking.providers,1.3.6.201109221701,"com.yattasolutions.linking.providers",1318787396160
stopped,bundle,com.yattasolutions.xpandpp.ui,1.3.6.201109221701,"com.yattasolutions.xpandpp.ui",1318787396160
stopped,bundle,com.yattasolutions.codegen.oaw,1.3.6.201109221700,"com.yattasolutions.codegen.oaw",1318787396160
stopped,bundle,com.yattasolutions.codegen.reverse,1.3.6.201109221701,"com.yattasolutions.codegen.reverse",1318787396209
stopped,bundle,com.yattasolutions.codegen,1.3.6.201109221700,"com.yattasolutions.codegen",1318787396210
stopped,bundle,com.yattasolutions.linking,1.3.6.201109221701,"com.yattasolutions.linking",1318787396212
stopped,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1318787396214
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1318787396214
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1318787396216
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1318787396216
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1318787396250
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1318787396251
stopped,bundle,com.yattasolutions.umllab.ccp,1.3.6.201109221701,"com.yattasolutions.umllab.ccp",1318787396251
stopped,bundle,com.yattasolutions.diagrams.classdiagram.gef,1.3.6.201109221701,"com.yattasolutions.diagrams.classdiagram.gef",1318787396251
stopped,bundle,com.yattasolutions.diagrams.classdiagram,1.3.6.201109221701,"com.yattasolutions.diagrams.classdiagram",1318787396251
stopped,bundle,com.yattasolutions.diagrams.layout,1.3.6.201109221701,"com.yattasolutions.diagrams.layout",1318787396251
stopped,bundle,com.yattasolutions.diagrams.mapping,1.3.6.201109221701,"com.yattasolutions.diagrams.mapping",1318787396251
stopped,bundle,com.yattasolutions.umllab.reporting.trac,1.3.6.201109221701,"com.yattasolutions.umllab.reporting.trac",1318787396251
stopped,bundle,com.yattasolutions.umllab,1.3.6.201109221701,"com.yattasolutions.umllab",1318787396283
stopped,bundle,com.yattasolutions.umllab.intro,1.3.6.201109221701,"com.yattasolutions.umllab.intro",1318787396285
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1318787396286
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1318787396286
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1318787396287
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1318787396318
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1318787396318
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1318787396427
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1318787396427
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1318787396428
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1318787396428
stopped,bundle,org.eclipse.egit.mylyn.ui,1.1.0.201109151100-r,"org.eclipse.egit.mylyn.ui",1318787396428
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1318787396429
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1318787396432
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1318787396433
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1318787396433
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1318787396433
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1318787396433
stopped,bundle,org.eclipse.xpand.ui,1.0.1.yatta-patch-201109221319,"org.eclipse.xpand.ui",1318787396433
stopped,bundle,org.eclipse.xtend.check.ui,1.0.1.v201108020519,"org.eclipse.xtend.check.ui",1318787396434
stopped,bundle,org.eclipse.xtend.typesystem.emf.ui,1.0.1.v201108020519,"org.eclipse.xtend.typesystem.emf.ui",1318787396441
stopped,bundle,org.eclipse.xtend.typesystem.uml2.ui,1.0.1.yatta-patch-201109221319,"org.eclipse.xtend.typesystem.uml2.ui",1318787396441
stopped,bundle,org.eclipse.xtend.ui,1.0.1.v201108020519,"org.eclipse.xtend.ui",1318787396442
stopped,bundle,org.eclipse.xtend.shared.ui,1.0.1.yatta-patch-201109221319,"org.eclipse.xtend.shared.ui",1318787396444
stopped,bundle,org.eclipse.emf.mwe.ui,1.1.1.v201108020506,"org.eclipse.emf.mwe.ui",1318787396444
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1318787396447
stopped,bundle,org.eclipse.wb.swing.databinding,1.1.0.r37x201109091143,"org.eclipse.wb.swing.databinding",1318787396448
stopped,bundle,org.eclipse.wb.core.databinding,1.1.0.r37x201109091012,"org.eclipse.wb.core.databinding",1318787396449
stopped,bundle,org.eclipse.wb.swing.FormLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.FormLayout",1318787396449
stopped,bundle,org.eclipse.wb.swing.MigLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.MigLayout",1318787396452
stopped,bundle,org.eclipse.wb.swing.java6,1.1.0.r37x201109091143,"org.eclipse.wb.swing.java6",1318787396452
stopped,bundle,org.eclipse.wb.swing.jsr296,1.1.0.r37x201109091143,"org.eclipse.wb.swing.jsr296",1318787396453
stopped,bundle,org.eclipse.wb.swing,1.1.0.r37x201109091143,"org.eclipse.wb.swing",1318787396453
stopped,bundle,org.eclipse.wb.core.ui,1.1.0.r37x201109091028,"org.eclipse.wb.core.ui",1318787396453
stopped,bundle,org.eclipse.wb.layout.group,1.1.0.r37x201109091112,"org.eclipse.wb.layout.group",1318787396453
stopped,bundle,org.eclipse.wb.os.linux,1.1.0.r37x201109091012,"org.eclipse.wb.os.linux",1318787396453
stopped,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1318787396453
stopped,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1318787396453
stopped,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1318787396565
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1318787396566
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1318787396566
stopped,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1318787396568
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1318787396572
stopped,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1318787396586
stopped,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1318787396690
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1318787396691
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1318787396693
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1318787396693
stopped,bundle,org.eclipse.emf.compare.ui,1.2.1.yatta-patch-201109221319,"org.eclipse.emf.compare.ui",1318787396694
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1318787396694
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1318787396694
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1318787396694
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1318787396694
