what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.sequoyah.android.cdt.build.ui,1.1.3.M20110913-0203,"org.eclipse.sequoyah.android.cdt.build.ui",1331912779289
started,bundle,org.eclipse.sequoyah.device.backward,1.0.1.M20110913-0203,"org.eclipse.sequoyah.device.backward",1331912779289
started,bundle,org.eclipse.sequoyah.device.framework,2.0.1.M20110913-0203,"org.eclipse.sequoyah.device.framework",1331912779289
started,bundle,org.eclipse.sequoyah.device.framework.wizard,1.0.3.M20110913-0203,"org.eclipse.sequoyah.device.framework.wizard",1331912779289
started,bundle,org.eclipse.sequoyah.device.service.start,1.0.2.M20110913-0203,"org.eclipse.sequoyah.device.service.start",1331912779289
started,bundle,org.eclipse.sequoyah.device.service.stop,1.0.2.M20110913-0203,"org.eclipse.sequoyah.device.service.stop",1331912779289
started,bundle,org.eclipse.sequoyah.localization.android,2.0.1.M20110913-0203,"org.eclipse.sequoyah.localization.android",1331912779289
started,bundle,org.eclipse.sequoyah.localization.tools,2.0.1.M20110913-0203,"org.eclipse.sequoyah.localization.tools",1331912779289
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1331912779290
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1331912779320
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1331912779320
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1331912779320
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1331912779320
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1331912779320
os,sysinfo,,,"linux",1331912779328
arch,sysinfo,,,"x86",1331912779328
ws,sysinfo,,,"gtk",1331912779328
locale,sysinfo,,,"en_IE",1331912779328
processors,sysinfo,,,"2",1331912779328
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1331912779328
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1331912779328
java.specification.name,sysinfo,,,"Java Platform API Specification",1331912779328
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331912779328
java.specification.version,sysinfo,,,"1.6",1331912779328
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331912779328
java.version,sysinfo,,,"1.6.0_23",1331912779328
java.vm.info,sysinfo,,,"mixed mode, sharing",1331912779328
java.vm.name,sysinfo,,,"OpenJDK Client VM",1331912779328
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331912779328
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331912779328
java.vm.specification.version,sysinfo,,,"1.0",1331912779328
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331912779328
java.vm.version,sysinfo,,,"20.0-b11",1331912779328
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1331912779348
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1331912780369
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1331912781226
